date,close,volume,open,high,low
9/28/16,128.27,5740245,127.21,128.53,127.06
9/27/16,126.82,4425322,125.8,126.99,125.36
9/26/16,125.45,5336764,127.1,127.23,125.35
9/23/16,127.79,4460674,128.63,129.2,127.79
9/22/16,128.75,4087011,128.82,129.65,128.72
9/21/16,128.11,5355120,127.52,128.59,126.55
9/20/16,126.83,3617675,126.86,127.33,126.33
9/19/16,126.29,4471088,126.68,127.37,126.17
9/16/16,126.11,6940052,127.02,127.02,125.7
9/15/16,126.96,5101532,125.97,127.635,125.71
9/14/16,126.26,4310707,125.61,126.945,125.565
9/13/16,125.72,6367837,127.74,128,125.43
9/12/16,128.59,7873960,126.5,128.855,126
9/9/16,127.74,6206859,130.64,130.89,127.73
9/8/16,131.26,5010447,131.55,132.94,131.12
9/7/16,132.79,4672325,133.3,133.87,132.16
9/6/16,134.1,4212692,134.96,135.72,133.8814
9/2/16,135.15,3398298,134.77,135.88,134.55
9/1/16,134.23,3850786,134.48,135.06,133.66
8/31/16,134.12,4650514,133.89,134.68,133.6
8/30/16,134.1,3440420,134.8,135.05,133.63
8/29/16,135.24,3224867,134.86,135.3,134.58
8/26/16,134.36,4193274,135.43,136.18,133.92
8/25/16,135.43,3166189,134.73,136.16,134.37
8/24/16,135.06,3440053,135.77,136.25,134.81
8/23/16,136.22,2957238,135.93,136.55,135.93
8/22/16,135.34,2752422,135.6,135.85,135.02
8/19/16,135.46,3781586,134.42,135.76,134.32
8/18/16,134.8,4427493,136.03,136.15,134.44
8/17/16,136.15,5222093,135.5,136.47,134.75
8/16/16,136.23,7279583,137.65,138.65,135.66
8/15/16,137.06,6314314,137.11,137.97,136.93
8/12/16,136.57,4084766,136,137.39,135.6321
8/11/16,137.04,4178521,136.31,137.5,135.17
8/10/16,135.6,3430829,136.3,136.89,135.06
8/9/16,136.11,3178123,136.27,137.09,135.34
8/8/16,136.21,3182731,136.91,137.401,136.16
8/5/16,136.91,3022069,137,137.74,136.6
8/4/16,136.05,3802914,135.79,137.2,135.46
8/3/16,137.06,3642633,137.13,137.22,135.7
8/2/16,137.22,3894119,138.91,139,136.82
8/1/16,138.77,3152357,138.06,138.94,137.85
7/29/16,138.24,3654720,137.46,138.72,137.44
7/28/16,137.96,3229764,136.19,138.12,136.105
7/27/16,136.31,3029514,137.01,137.69,135.96
7/26/16,136.75,2573470,136.5,137.51,136.06
7/25/16,136.5,3350046,136.55,136.85,136.15
7/22/16,136.52,2623831,136.41,136.64,135.96
7/21/16,136.07,4975106,136.76,137.14,135.47
7/20/16,137.41,3091800,137.4,137.45,136.77
7/19/16,136.98,3831522,136.07,137.05,135.56
7/18/16,136.34,3725067,135.46,136.48,134.81
7/15/16,134.78,5322753,135.12,135.59,134.65
7/14/16,134.54,3122408,134.4,134.79,133.83
7/13/16,133.56,4231548,134.84,135.2,133.1
7/12/16,134.84,3611575,135.24,135.99,134.3
7/11/16,135.15,4573713,134.83,135.88,134.45
7/8/16,134.34,4804926,132.33,134.36,132.25
7/7/16,131.16,3970509,131.25,132.18,130.56
7/6/16,131.57,4928617,129.2,131.61,129.03
7/5/16,129.35,4096529,129.6,130.48,128.503
7/1/16,129.62,5644825,128.29,130.23,128.12
6/30/16,127.69,6641690,127.27,127.86,126.1
6/29/16,127.37,5779461,127.9,128.47,126.9
6/28/16,127.53,5376423,125.89,127.53,125.6
6/27/16,124.67,5666524,125.34,125.75,123.62
6/24/16,126.4,8973798,126.1,127.8,125.5
6/23/16,128.29,4776172,128.98,129.1,127.45
6/22/16,127.6,3696351,127.69,128.97,127.4
6/21/16,127.74,3450827,127.96,128.3114,127.285
6/20/16,127.62,3880277,128.13,128.85,127.42
6/17/16,127.14,7536503,127.52,127.78,126.73
6/16/16,127.36,4431982,126.05,127.54,125.66
6/15/16,126.53,5130672,125.74,127.75,125.49
6/14/16,125.24,7295156,127.31,127.44,124.71
6/13/16,127.83,4822812,128.94,129.45,127.785
6/10/16,128.83,3925608,128.45,129.227,128.21
6/9/16,129.3,3450618,129.27,129.84,129.04
6/8/16,129.59,3742198,130.01,130.295,129.25
6/7/16,129.92,4433801,129.38,130.8,129.32
6/6/16,129.19,8050434,130.82,130.87,128.47
6/3/16,131.74,4155850,132.53,132.73,130.92
6/2/16,132.41,3855912,131.85,132.7,131.33
6/1/16,131.83,4734846,131.58,132.12,131.15
5/31/16,132.12,6363334,133.57,133.8,131.72
5/27/16,133.94,4025265,134.07,134.9,133.38
5/26/16,134.05,3996603,133.13,134.36,132.86
5/25/16,133.2,5017466,133.46,134.52,133.05
5/24/16,133.36,5175604,132.18,133.8701,132.05
5/23/16,131.42,3850053,131.84,132.48,131.3
5/20/16,131.85,5086326,131.89,133.06,131.748
5/19/16,131.73,4573626,131.45,132.13,130.78
5/18/16,131.77,8257902,131.03,132.7701,130.02
5/17/16,132,15976960,133.15,134.49,131.1
5/16/16,135.34,8362497,133.84,136.55,133.08
5/13/16,133.13,5292527,133.81,135.33,133.03
5/12/16,134.19,5354803,135,135,133.1
5/11/16,134.3,6054211,136.8,137.05,134.04
5/10/16,137.51,3657542,136.32,137.82,136.3
5/9/16,136.24,3551818,135.59,136.47,135.24
5/6/16,135.7,3356811,134.48,135.81,134.311
5/5/16,134.67,3473997,134.87,135.37,133.75
5/4/16,135.16,3191787,133.59,135.4,133.13
5/3/16,134.54,3408398,135.45,135.8399,134.04
5/2/16,136.05,4281203,134.37,136.25,134.31
4/29/16,133.89,4605351,132.71,134.3,131.75
4/28/16,132.73,5551465,134.81,135.44,132.49
4/27/16,135.75,3487448,135.37,136.28,134.765
4/26/16,135.34,3498972,135.09,136.24,134.88
4/25/16,135.65,2831398,135.18,135.7299,134.28
4/22/16,135.66,4180110,134.85,135.68,133.41
4/21/16,134.6,3541740,135.23,135.49,134.39
4/20/16,135.19,4755103,135.75,136.08,134.48
4/19/16,135.44,4649461,136.8,137,134.85
4/18/16,136.8,3964553,134.81,136.8,134.74
4/15/16,135.01,3508644,134.41,135.275,133.97
4/14/16,134.37,4183198,133.5,134.7125,132.88
4/13/16,133.84,4321897,134.86,134.86,133.22
4/12/16,134.38,4230752,133.3,134.72,133.11
4/11/16,133.01,3472649,133.58,135.08,132.96
4/8/16,133.62,2924397,134.62,134.62,133.06
4/7/16,133.87,3950135,134.73,135.24,133.12
4/6/16,135.44,3365521,134.25,135.7401,133.82
4/5/16,134.58,4068495,134.2,135.7,133.9
4/4/16,134.85,3547634,136.07,136.23,134.35
4/1/16,134.85,4257861,133.1,135.2,133.1
3/31/16,133.43,3685242,133.56,134.29,133
3/30/16,133.42,3138015,133.11,133.929,132.84
3/29/16,132.47,3404933,131,132.9,130.71
3/28/16,131.08,2621141,130.6,131.81,130.49
3/24/16,130.46,3449191,129.54,130.76,129.46
3/23/16,130.22,3625009,130.59,131.18,129.95
3/22/16,130.59,3946425,130.61,131.22,129.92
3/21/16,131.01,3816754,131.53,132.13,130.27
3/18/16,131.35,7965521,131.14,132.09,130.83
3/17/16,130.88,4130995,130.1,131.19,129.32
3/16/16,130.45,3606859,129.63,131.11,128.81
3/15/16,129.71,4034069,128.78,130.48,128.62
3/14/16,128.84,3622438,128.43,129.66,128.1
3/11/16,128.46,4625828,126.97,128.76,126.73
3/10/16,125.89,4502357,126.2,127,124.31
3/9/16,126.03,4046826,127.03,127.52,125.33
3/8/16,126.72,5280716,125.22,128.2,125
3/7/16,126.17,4161141,125.01,126.54,125.01
3/4/16,125.56,6447969,127.37,127.498,125.16
3/3/16,126.8,5008867,125.2,127.26,124.78
3/2/16,125.59,3956576,125.48,125.87,124.46
3/1/16,125.7,4900217,124.78,125.97,123.98
2/29/16,124.12,5567652,126.26,126.99,124.05
2/26/16,126.26,4607040,127.59,127.75,125.93
2/25/16,126.86,4736776,125.76,126.86,124.891
2/24/16,125.61,7930050,124.05,125.78,122.92
2/23/16,124.53,11163390,127,127.19,123.35
2/22/16,122.85,7788629,123,124.47,122.13
2/19/16,121.69,5413687,119.82,121.7,118.75
2/18/16,119.97,4457648,120.93,121.11,119.56
2/17/16,121.21,5970653,120.45,121.68,119.87
2/16/16,119.43,6958112,118.12,120,117.7
2/12/16,116.32,5358787,114.88,116.43,113.52
2/11/16,113.27,6443496,113.08,114.19,112.22
2/10/16,114.33,5304582,114.5,116.16,114.0526
2/9/16,113.86,7572410,110.94,115.29,110.68
2/8/16,111.85,11284990,114.93,115.965,109.62
2/5/16,116.43,8115192,120.89,121,115.69
2/4/16,121.11,9171639,123.65,123.9,119.45
2/3/16,123.79,7482854,126.02,126.16,121.54
2/2/16,125.27,5830704,125.41,126.43,124.71
2/1/16,126.51,4616858,124.92,127.09,123.99
1/29/16,125.76,7616144,123.17,125.76,122.75
1/28/16,122.28,4868943,121.97,122.69,120.31
1/27/16,121.57,5407642,122.46,124.32,120.86
1/26/16,122.2,4469344,121.73,122.45,120.64
1/25/16,121.71,4848860,123.38,123.85,121.56
1/22/16,122.76,6553875,121.64,124.67,121.58
1/21/16,120.22,8992723,117.38,121.94,117.14
1/20/16,116.46,11329730,117.89,118.66,113.5865
1/19/16,119.76,6343204,120.54,121.89,118.8
1/15/16,119.23,10514790,117.12,121.15,116.1
1/14/16,119.62,13380210,121.29,121.515,118.2
1/13/16,121.4,8915501,127.47,127.47,120.97
1/12/16,127.49,5686249,126.78,128.8,125.83
1/11/16,125.78,6784380,124.87,126.08,124.09
1/8/16,123.9,7094629,126.44,126.53,123.5
1/7/16,125.4,12542370,126.93,127.88,124.7
1/6/16,129.08,8198704,129,129.9,128.56
1/5/16,130.43,5316011,131.15,131.94,130.05
1/4/16,131.07,8046245,130.11,131.07,129.45
12/31/15,132.25,3178722,133.08,133.5684,132.24
12/30/15,133.35,2484809,133.58,134.06,133.28
12/29/15,133.7,3037199,133.37,134.3299,133.276
12/28/15,132.68,2607218,132.25,132.9,131.89
12/24/15,132.9,1517075,132.8,133.48,132.66
12/23/15,133.11,3240828,132.49,133.34,131.88
12/22/15,131.88,3398101,131.37,132.2815,130.46
12/21/15,131.31,3409668,131,131.61,130.18
